model,min,T,A
A_T1_C,0.04,44.16,0.0345
A_T1_C,0.01,44.21,0.0345
A_T1_C,0.04,44.26,0.0345
A_T1_C,0.01,44.33,0.0345
A_T1_C,0.02,44.38,0.0345
A_T1_C,0.03,44.44,0.0345
A_T1_C,0.02,44.49,0.0345
A_T1_C,0.03,44.54,0.0345
A_T1_C,0.02,44.59,0.0345
A_T1_C,0.03,44.65,0.0345
A_T1_C,0.02,44.7,0.0345
A_T1_C,0.02,44.75,0.0345
A_T1_C,0.03,44.8,0.0345
A_T1_C,0.02,44.84,0.0345
A_T1_C,0.03,44.9,0.0345
A_T1_C,0.02,44.95,0.0345
A_T1_C,0.01,45.01,0.0345
A_T1_C,0.04,45.07,0.0345
A_T1_C,0.01,45.12,0.0345
A_T1_C,0.04,45.17,0.0345
A_T1_C,0.01,45.21,0.0345
A_T1_C,0.04,45.27,0.0345
A_T1_C,0.01,45.33,0.0345
A_T1_C,0.02,45.39,0.0345
A_T1_C,0.03,45.43,0.0345
A_T1_C,0.02,45.48,0.0345
A_T1_C,0.03,45.54,0.0345
A_T1_C,0.02,45.58,0.0345
A_T1_C,0.02,45.63,0.0345
A_T1_C,0.03,45.68,0.0345
A_T1_C,0.02,45.73,0.0345
A_T1_C,0.03,45.77,0.0345
A_T1_C,0.02,45.84,0.0345
A_T1_C,0.03,45.88,0.0345
A_T1_C,0.02,45.93,0.0345
A_T1_C,0.01,45.98,0.0345
A_T1_C,0.04,46.05,0.0345
A_T1_C,0.01,46.09,0.0345
A_T1_C,0.04,46.13,0.0345
A_T1_C,0.01,46.18,0.0345
A_T1_C,0.02,46.23,0.0345
A_T1_C,0.03,46.28,0.0345
A_T1_C,0.02,46.33,0.0345
A_T1_C,0.03,46.37,0.0345
A_T1_C,0.02,46.42,0.0345
A_T1_C,0.02,46.47,0.0345
A_T1_C,0.03,46.51,0.0345
A_T1_C,0.02,46.57,0.0345
A_T1_C,0.03,46.62,0.0345
A_T1_C,0.02,46.67,0.0345
A_T1_C,0.01,46.72,0.0345
A_T1_C,0.04,46.77,0.0345
A_T1_C,0.01,46.81,0.0345
A_T1_C,0.02,46.85,0.0345
A_T1_C,0.03,46.9,0.0345
A_T1_C,0.02,46.95,0.0345
A_T1_C,0.03,46.99,0.0345
A_T1_C,0.02,47.04,0.0345
A_T1_C,0.02,47.1,0.0345
A_T1_C,0.03,47.14,0.0345
A_T1_C,0.02,47.19,0.0345
A_T1_C,0.03,47.24,0.0345
A_T1_C,0.02,47.29,0.0345
A_T1_C,0.03,47.33,0.0345
A_T1_C,0.02,47.37,0.0345
A_T1_C,0.01,47.42,0.0345
A_T1_C,0.04,47.48,0.0345
A_T1_C,0.01,47.52,0.0345
A_T1_C,0.04,47.56,0.0345
A_T1_C,0.01,47.61,0.0345
A_T1_C,0.04,47.67,0.0345
A_T1_C,0.01,47.72,0.0345
A_T1_C,0.02,47.75,0.0345
A_T1_C,0.03,47.8,0.0345
A_T1_C,0.02,47.84,0.0345
A_T1_C,0.03,47.9,0.0345
A_T1_C,0.02,47.94,0.0345
A_T1_C,0.03,48,0.0345
A_T1_C,0.02,48.04,0.0345
A_T1_C,0.02,48.08,0.0345
A_T1_C,0.03,48.14,0.0345
A_T1_C,0.02,48.17,0.0345
A_T1_C,0.03,48.22,0.0345
A_T1_C,0.02,48.27,0.0345
A_T1_C,0.03,48.32,0.0345
A_T1_C,0.02,48.37,0.0345
A_T1_C,0.01,48.4,0.0345
A_T1_C,0.04,48.44,0.0345
A_T1_C,0.01,48.5,0.0345
A_T1_C,0.04,48.55,0.0345
A_T1_C,0.01,48.59,0.0345
A_T1_C,0.02,48.62,0.0345
A_T1_C,0.03,48.67,0.0345
A_T1_C,0.02,48.73,0.0345
A_T1_C,0.03,48.77,0.0345
A_T1_C,0.02,48.8,0.0345
A_T1_C,0.03,48.85,0.0345
A_T1_C,0.02,48.9,0.0345
A_T1_C,0.02,48.94,0.0345
A_T1_C,0.03,48.99,0.0345
A_T1_C,0.02,49.03,0.0345
A_T1_C,0.03,49.07,0.0345
A_T1_C,0.02,49.12,0.0345
A_T1_C,0.03,49.16,0.0345
A_T1_C,0.02,49.21,0.0345
A_T1_C,0.03,49.24,0.0345
A_T1_C,0.02,49.29,0.0345
A_T1_C,0.03,49.35,0.0345
A_T1_C,0.02,49.39,0.0345
A_T1_C,0.01,49.44,0.0345
A_T1_C,0.04,49.46,0.0345
A_T1_C,0.01,49.51,0.0345
A_T1_C,0.04,49.55,0.0345
A_T1_C,0.01,49.61,0.0345
A_T1_C,0.02,49.64,0.0345
A_T1_C,0.03,49.69,0.0345
A_T1_C,0.02,49.73,0.0345
A_T1_C,0.03,49.78,0.0345
A_T1_C,0.02,49.82,0.0345
A_T1_C,0.03,49.86,0.0345
A_T1_C,0.02,49.9,0.0345
A_T1_C,0.02,49.94,0.0345
A_T1_C,0.03,49.98,0.0345
A_T1_C,0.02,50.03,0.0345
A_T1_C,0.03,50.06,0.0345
A_T1_C,0.02,50.11,0.0345
A_T1_C,0.01,50.15,0.0345
A_T1_C,0.04,50.18,0.0345
A_T1_C,0.01,50.24,0.0345
A_T1_C,0.04,50.28,0.0345
A_T1_C,0.01,50.31,0.0345
A_T1_C,0.04,50.36,0.0345
A_T1_C,0.01,50.4,0.0345
A_T1_C,0.02,50.44,0.0345
A_T1_C,0.03,50.48,0.0345
A_T1_C,0.02,50.52,0.0345
A_T1_C,0.03,50.58,0.0345
A_T1_C,0.02,50.62,0.0345
A_T1_C,0.03,50.65,0.0345
A_T1_C,0.02,50.69,0.0345
A_T1_C,0.02,50.74,0.0345
A_T1_C,0.03,50.77,0.0345
A_T1_C,0.02,50.82,0.0345
A_T1_C,0.03,50.85,0.0345
A_T1_C,0.02,50.88,0.0345
A_T1_C,0.01,50.93,0.0345
A_T1_C,0.04,50.97,0.0345
A_T1_C,0.01,51.02,0.0345
A_T1_C,0.04,51.06,0.0345
A_T1_C,0.01,51.09,0.0345
A_T1_C,0.02,51.12,0.0345
A_T1_C,0.03,51.17,0.0345
A_T1_C,0.02,51.2,0.0345
A_T1_C,0.03,51.26,0.0345
A_T1_C,0.02,51.29,0.0345
A_T1_C,0.03,51.33,0.0345
A_T1_C,0.02,51.36,0.0345
A_T1_C,0.03,51.39,0.0345
A_T1_C,0.02,51.43,0.0345
A_T1_C,0.02,51.48,0.0345
A_T1_C,0.03,51.51,0.0345
A_T1_C,0.02,51.55,0.0345
A_T1_C,0.03,51.6,0.0345
A_T1_C,0.02,51.63,0.0345
A_T1_C,0.03,51.67,0.0345
A_T1_C,0.02,51.7,0.0345
A_T1_C,0.01,51.74,0.0345
A_T1_C,0.04,51.79,0.0345
A_T1_C,0.01,51.82,0.0345
A_T1_C,0.04,51.86,0.0345
A_T1_C,0.01,51.89,0.0345
A_T1_C,0.04,51.94,0.0345
A_T1_C,0.01,51.98,0.0345
A_T1_C,0.02,52.02,0.0345
A_T1_C,0.03,52.04,0.0345
A_T1_C,0.02,52.11,0.0345
A_T1_C,0.03,52.13,0.0345
A_T1_C,0.02,52.16,0.0345
A_T1_C,0.02,52.21,0.0345
A_T1_C,0.03,52.23,0.0345
A_T1_C,0.02,52.27,0.0345
A_T1_C,0.03,52.31,0.0345
A_T1_C,0.02,52.33,0.0345
A_T1_C,0.01,52.38,0.0345
A_T1_C,0.04,52.41,0.0345
A_T1_C,0.01,52.44,0.0345
A_T1_C,0.04,52.47,0.0345
A_T1_C,0.01,52.52,0.0345
A_T1_C,0.04,52.55,0.0345
A_T1_C,0.01,52.59,0.0345
A_T1_C,0.02,52.62,0.0345
A_T1_C,0.03,52.65,0.0345
A_T1_C,0.02,52.69,0.0345
A_T1_C,0.03,52.72,0.0345
A_T1_C,0.02,52.75,0.0345
A_T1_C,0.03,52.77,0.0345
A_T1_C,0.02,52.82,0.0345
A_T1_C,0.02,52.84,0.0345
A_T1_C,0.03,52.89,0.0345
A_T1_C,0.02,52.92,0.0345
A_T1_C,0.03,52.95,0.0345
A_T1_C,0.02,52.98,0.0345
A_T1_C,0.03,53.01,0.0345
A_T1_C,0.02,53.05,0.0345
A_T1_C,0.01,53.08,0.0345
A_T1_C,0.04,53.11,0.0345
A_T1_C,0.01,53.15,0.0345
A_T1_C,0.04,53.18,0.0345
A_T1_C,0.01,53.2,0.0345
A_T1_C,0.02,53.24,0.0345
A_T1_C,0.03,53.27,0.0345
A_T1_C,0.02,53.31,0.0345
A_T1_C,0.03,53.35,0.0345
A_T1_C,0.02,53.38,0.0345
A_T1_C,0.02,53.4,0.0345
A_T1_C,0.03,53.44,0.0345
A_T1_C,0.02,53.47,0.0345
A_T1_C,0.03,53.51,0.0345
A_T1_C,0.02,53.53,0.0345
A_T1_C,0.03,53.58,0.0345
A_T1_C,0.02,53.6,0.0345
A_T1_C,0.01,53.63,0.0345
A_T1_C,0.04,53.66,0.0345
A_T1_C,0.01,53.7,0.0345
A_T1_C,0.04,53.73,0.0345
A_T1_C,0.01,53.76,0.0345
A_T1_C,0.04,53.79,0.0345
A_T1_C,0.01,53.82,0.0345
A_T1_C,0.04,53.84,0.0345
A_T1_C,0.01,53.88,0.0345
A_T1_C,0.02,53.91,0.0345
A_T1_C,0.03,53.94,0.0345
A_T1_C,0.02,53.98,0.0345
A_T1_C,0.03,54.01,0.0345
A_T1_C,0.02,54.05,0.0345
A_T1_C,0.03,54.07,0.0345
A_T1_C,0.02,54.1,0.0345
A_T1_C,0.02,54.14,0.0345
A_T1_C,0.03,54.17,0.0345
A_T1_C,0.02,54.2,0.0345
A_T1_C,0.03,54.23,0.0345
A_T1_C,0.02,54.25,0.0345
A_T1_C,0.03,54.3,0.0345
A_T1_C,0.02,54.31,0.0345
A_T1_C,0.01,54.35,0.0345
A_T1_C,0.04,54.39,0.0345
A_T1_C,0.01,54.41,0.0345
A_T1_C,0.04,54.45,0.0345
A_T1_C,0.01,54.47,0.0345
A_T1_C,0.02,54.5,0.0345
A_T1_C,0.03,54.53,0.0345
A_T1_C,0.02,54.58,0.0345
A_T1_C,0.03,54.61,0.0345
A_T1_C,0.02,54.63,0.0345
A_T1_C,0.02,54.66,0.0345
A_T1_C,0.03,54.68,0.0345
A_T1_C,0.02,54.72,0.0345
A_T1_C,0.01,54.74,0.0345
A_T1_C,0.04,54.77,0.0345
A_T1_C,0.01,54.81,0.0345
A_T1_C,0.04,54.83,0.0345
A_T1_C,0.01,54.85,0.0345
A_T1_C,0.02,54.9,0.0345
A_T1_C,0.03,54.92,0.0345
A_T1_C,0.02,54.95,0.0345
A_T1_C,0.03,54.98,0.0345
A_T1_C,0.02,55.01,0.0345
A_T1_C,0.02,55.04,0.0345
A_T1_C,0.03,55.07,0.0345
A_T1_C,0.02,55.1,0.0345
A_T1_C,0.03,55.13,0.0345
A_T1_C,0.02,55.16,0.0345
A_T1_C,0.01,55.18,0.0345
A_T1_C,0.04,55.22,0.0345
A_T1_C,0.01,55.24,0.0345
A_T1_C,0.04,55.26,0.0345
A_T1_C,0.01,55.3,0.0345
A_T1_C,0.02,55.33,0.0345
A_T1_C,0.03,55.36,0.0345
A_T1_C,0.02,55.37,0.0345
A_T1_C,0.03,55.4,0.0345
A_T1_C,0.02,55.44,0.0345
A_T1_C,0.02,55.46,0.0345
A_T1_C,0.03,55.5,0.0345
A_T1_C,0.02,55.52,0.0345
A_T1_C,0.03,55.54,0.0345
A_T1_C,0.02,55.57,0.0345
A_T1_C,0.03,55.59,0.0345
A_T1_C,0.02,55.62,0.0345
A_T1_C,0.01,55.65,0.0345
A_T1_C,0.04,55.68,0.0345
A_T1_C,0.01,55.7,0.0345
A_T1_C,0.04,55.73,0.0345
