model,min,T,A
A_T2_C,0.04,53.96,0.0345
A_T2_C,0.01,54,0.0345
A_T2_C,0.04,54.04,0.0345
A_T2_C,0.01,54.09,0.0345
A_T2_C,0.02,54.13,0.0345
A_T2_C,0.03,54.18,0.0345
A_T2_C,0.02,54.21,0.0345
A_T2_C,0.03,54.25,0.0345
A_T2_C,0.02,54.28,0.0345
A_T2_C,0.03,54.33,0.0345
A_T2_C,0.02,54.37,0.0345
A_T2_C,0.02,54.42,0.0345
A_T2_C,0.03,54.46,0.0345
A_T2_C,0.02,54.5,0.0345
A_T2_C,0.03,54.55,0.0345
A_T2_C,0.02,54.58,0.0345
A_T2_C,0.01,54.62,0.0345
A_T2_C,0.04,54.67,0.0345
A_T2_C,0.01,54.71,0.0345
A_T2_C,0.04,54.75,0.0345
A_T2_C,0.01,54.78,0.0345
A_T2_C,0.02,54.83,0.0345
A_T2_C,0.03,54.87,0.0345
A_T2_C,0.02,54.91,0.0345
A_T2_C,0.03,54.94,0.0345
A_T2_C,0.02,54.98,0.0345
A_T2_C,0.03,55.02,0.0345
A_T2_C,0.02,55.06,0.0345
A_T2_C,0.03,55.11,0.0345
A_T2_C,0.02,55.14,0.0345
A_T2_C,0.02,55.18,0.0345
A_T2_C,0.03,55.22,0.0345
A_T2_C,0.02,55.25,0.0345
A_T2_C,0.03,55.31,0.0345
A_T2_C,0.02,55.34,0.0345
A_T2_C,0.03,55.38,0.0345
A_T2_C,0.02,55.42,0.0345
A_T2_C,0.01,55.45,0.0345
A_T2_C,0.04,55.49,0.0345
A_T2_C,0.01,55.52,0.0345
A_T2_C,0.04,55.57,0.0345
A_T2_C,0.01,55.59,0.0345
A_T2_C,0.04,55.65,0.0345
A_T2_C,0.01,55.68,0.0345
A_T2_C,0.02,55.72,0.0345
A_T2_C,0.03,55.77,0.0345
A_T2_C,0.02,55.79,0.0345
A_T2_C,0.03,55.83,0.0345
A_T2_C,0.02,55.88,0.0345
A_T2_C,0.02,55.92,0.0345
A_T2_C,0.03,55.95,0.0345
A_T2_C,0.02,55.99,0.0345
A_T2_C,0.03,56.02,0.0345
A_T2_C,0.02,56.07,0.0345
A_T2_C,0.01,56.1,0.0345
A_T2_C,0.04,56.13,0.0345
A_T2_C,0.01,56.18,0.0345
A_T2_C,0.04,56.2,0.0345
A_T2_C,0.01,56.24,0.0345
A_T2_C,0.04,56.27,0.0345
A_T2_C,0.01,56.31,0.0345
A_T2_C,0.02,56.34,0.0345
A_T2_C,0.03,56.39,0.0345
A_T2_C,0.02,56.42,0.0345
A_T2_C,0.03,56.46,0.0345
A_T2_C,0.02,56.49,0.0345
A_T2_C,0.03,56.53,0.0345
A_T2_C,0.02,56.57,0.0345
A_T2_C,0.02,56.6,0.0345
A_T2_C,0.03,56.64,0.0345
A_T2_C,0.02,56.67,0.0345
A_T2_C,0.03,56.7,0.0345
A_T2_C,0.02,56.74,0.0345
A_T2_C,0.03,56.78,0.0345
A_T2_C,0.02,56.8,0.0345
A_T2_C,0.01,56.84,0.0345
A_T2_C,0.04,56.87,0.0345
A_T2_C,0.01,56.91,0.0345
A_T2_C,0.04,56.94,0.0345
A_T2_C,0.01,56.97,0.0345
A_T2_C,0.02,57,0.0345
A_T2_C,0.03,57.04,0.0345
A_T2_C,0.02,57.08,0.0345
A_T2_C,0.03,57.12,0.0345
A_T2_C,0.02,57.15,0.0345
A_T2_C,0.02,57.19,0.0345
A_T2_C,0.03,57.22,0.0345
A_T2_C,0.02,57.26,0.0345
A_T2_C,0.03,57.28,0.0345
A_T2_C,0.02,57.33,0.0345
A_T2_C,0.03,57.35,0.0345
A_T2_C,0.02,57.39,0.0345
A_T2_C,0.01,57.43,0.0345
A_T2_C,0.04,57.45,0.0345
A_T2_C,0.01,57.48,0.0345
A_T2_C,0.04,57.52,0.0345
A_T2_C,0.01,57.56,0.0345
A_T2_C,0.04,57.57,0.0345
A_T2_C,0.01,57.61,0.0345
A_T2_C,0.04,57.65,0.0345
A_T2_C,0.01,57.69,0.0345
A_T2_C,0.02,57.72,0.0345
A_T2_C,0.03,57.74,0.0345
A_T2_C,0.02,57.78,0.0345
A_T2_C,0.03,57.81,0.0345
A_T2_C,0.02,57.84,0.0345
A_T2_C,0.03,57.88,0.0345
A_T2_C,0.02,57.91,0.0345
A_T2_C,0.02,57.94,0.0345
A_T2_C,0.03,57.97,0.0345
A_T2_C,0.02,58,0.0345
A_T2_C,0.03,58.04,0.0345
A_T2_C,0.02,58.07,0.0345
A_T2_C,0.03,58.09,0.0345
A_T2_C,0.02,58.13,0.0345
A_T2_C,0.01,58.17,0.0345
A_T2_C,0.04,58.18,0.0345
A_T2_C,0.01,58.21,0.0345
A_T2_C,0.04,58.24,0.0345
A_T2_C,0.01,58.28,0.0345
A_T2_C,0.02,58.31,0.0345
A_T2_C,0.03,58.35,0.0345
A_T2_C,0.02,58.38,0.0345
A_T2_C,0.03,58.41,0.0345
A_T2_C,0.02,58.44,0.0345
A_T2_C,0.02,58.48,0.0345
A_T2_C,0.03,58.51,0.0345
A_T2_C,0.02,58.53,0.0345
A_T2_C,0.01,58.56,0.0345
A_T2_C,0.04,58.59,0.0345
A_T2_C,0.01,58.63,0.0345
A_T2_C,0.04,58.66,0.0345
A_T2_C,0.01,58.68,0.0345
A_T2_C,0.02,58.72,0.0345
A_T2_C,0.03,58.74,0.0345
A_T2_C,0.02,58.78,0.0345
A_T2_C,0.03,58.81,0.0345
A_T2_C,0.02,58.84,0.0345
A_T2_C,0.02,58.87,0.0345
A_T2_C,0.03,58.88,0.0345
A_T2_C,0.02,58.91,0.0345
A_T2_C,0.03,58.94,0.0345
A_T2_C,0.02,58.98,0.0345
A_T2_C,0.01,59.02,0.0345
A_T2_C,0.04,59.05,0.0345
A_T2_C,0.01,59.07,0.0345
A_T2_C,0.04,59.09,0.0345
A_T2_C,0.01,59.13,0.0345
A_T2_C,0.02,59.15,0.0345
A_T2_C,0.03,59.18,0.0345
A_T2_C,0.02,59.21,0.0345
A_T2_C,0.03,59.23,0.0345
A_T2_C,0.02,59.27,0.0345
A_T2_C,0.02,59.3,0.0345
A_T2_C,0.03,59.32,0.0345
A_T2_C,0.02,59.35,0.0345
A_T2_C,0.03,59.38,0.0345
A_T2_C,0.02,59.4,0.0345
A_T2_C,0.03,59.43,0.0345
A_T2_C,0.02,59.46,0.0345
A_T2_C,0.01,59.49,0.0345
A_T2_C,0.04,59.52,0.0345
A_T2_C,0.01,59.54,0.0345
A_T2_C,0.04,59.56,0.0345
A_T2_C,0.01,59.59,0.0345
A_T2_C,0.04,59.63,0.0345
A_T2_C,0.01,59.66,0.0345
A_T2_C,0.02,59.68,0.0345
A_T2_C,0.03,59.71,0.0345
A_T2_C,0.02,59.74,0.0345
A_T2_C,0.03,59.77,0.0345
A_T2_C,0.02,59.8,0.0345
A_T2_C,0.03,59.82,0.0345
A_T2_C,0.02,59.85,0.0345
A_T2_C,0.03,59.88,0.0345
A_T2_C,0.02,59.91,0.0345
A_T2_C,0.02,59.94,0.0345
A_T2_C,0.03,59.97,0.0345
A_T2_C,0.02,59.99,0.0345
A_T2_C,0.03,60.02,0.0345
A_T2_C,0.02,60.04,0.0345
A_T2_C,0.03,60.07,0.0345
A_T2_C,0.02,60.1,0.0345
A_T2_C,0.01,60.12,0.0345
A_T2_C,0.04,60.16,0.0345
A_T2_C,0.01,60.18,0.0345
A_T2_C,0.04,60.21,0.0345
A_T2_C,0.01,60.23,0.0345
A_T2_C,0.04,60.26,0.0345
A_T2_C,0.01,60.28,0.0345
A_T2_C,0.02,60.32,0.0345
A_T2_C,0.03,60.34,0.0345
A_T2_C,0.02,60.37,0.0345
A_T2_C,0.03,60.39,0.0345
A_T2_C,0.02,60.41,0.0345
A_T2_C,0.02,60.44,0.0345
A_T2_C,0.03,60.46,0.0345
A_T2_C,0.02,60.48,0.0345
A_T2_C,0.03,60.52,0.0345
A_T2_C,0.02,60.55,0.0345
A_T2_C,0.01,60.58,0.0345
A_T2_C,0.04,60.61,0.0345
A_T2_C,0.01,60.62,0.0345
A_T2_C,0.04,60.65,0.0345
A_T2_C,0.01,60.67,0.0345
A_T2_C,0.04,60.71,0.0345
A_T2_C,0.01,60.73,0.0345
A_T2_C,0.02,60.75,0.0345
A_T2_C,0.03,60.78,0.0345
A_T2_C,0.02,60.8,0.0345
A_T2_C,0.03,60.82,0.0345
A_T2_C,0.02,60.84,0.0345
A_T2_C,0.03,60.87,0.0345
A_T2_C,0.02,60.89,0.0345
A_T2_C,0.02,60.92,0.0345
A_T2_C,0.03,60.95,0.0345
A_T2_C,0.02,60.98,0.0345
A_T2_C,0.03,61.01,0.0345
A_T2_C,0.02,61.03,0.0345
A_T2_C,0.03,61.05,0.0345
A_T2_C,0.02,61.08,0.0345
A_T2_C,0.01,61.1,0.0345
A_T2_C,0.04,61.13,0.0345
A_T2_C,0.01,61.16,0.0345
A_T2_C,0.04,61.18,0.0345
A_T2_C,0.01,61.2,0.0345
A_T2_C,0.04,61.23,0.0345
A_T2_C,0.01,61.26,0.0345
A_T2_C,0.04,61.29,0.0345
A_T2_C,0.01,61.31,0.0345
A_T2_C,0.02,61.33,0.0345
A_T2_C,0.03,61.35,0.0345
A_T2_C,0.02,61.39,0.0345
A_T2_C,0.03,61.41,0.0345
A_T2_C,0.02,61.43,0.0345
A_T2_C,0.03,61.45,0.0345
A_T2_C,0.02,61.48,0.0345
A_T2_C,0.02,61.5,0.0345
A_T2_C,0.03,61.52,0.0345
A_T2_C,0.02,61.55,0.0345
A_T2_C,0.03,61.57,0.0345
A_T2_C,0.02,61.59,0.0345
A_T2_C,0.03,61.61,0.0345
A_T2_C,0.02,61.65,0.0345
A_T2_C,0.01,61.67,0.0345
A_T2_C,0.04,61.69,0.0345
A_T2_C,0.01,61.71,0.0345
A_T2_C,0.04,61.73,0.0345
A_T2_C,0.01,61.75,0.0345
A_T2_C,0.04,61.78,0.0345
A_T2_C,0.01,61.8,0.0345
A_T2_C,0.02,61.83,0.0345
A_T2_C,0.03,61.85,0.0345
A_T2_C,0.02,61.86,0.0345
A_T2_C,0.03,61.9,0.0345
A_T2_C,0.02,61.92,0.0345
A_T2_C,0.02,61.94,0.0345
A_T2_C,0.03,61.96,0.0345
A_T2_C,0.02,61.99,0.0345
A_T2_C,0.03,62.02,0.0345
A_T2_C,0.02,62.03,0.0345
A_T2_C,0.03,62.06,0.0345
A_T2_C,0.02,62.08,0.0345
A_T2_C,0.01,62.1,0.0345
A_T2_C,0.04,62.13,0.0345
A_T2_C,0.01,62.15,0.0345
A_T2_C,0.04,62.16,0.0345
A_T2_C,0.01,62.18,0.0345
A_T2_C,0.04,62.21,0.0345
A_T2_C,0.01,62.22,0.0345
A_T2_C,0.02,62.25,0.0345
A_T2_C,0.03,62.27,0.0345
A_T2_C,0.02,62.31,0.0345
A_T2_C,0.03,62.32,0.0345
A_T2_C,0.02,62.34,0.0345
A_T2_C,0.03,62.37,0.0345
A_T2_C,0.02,62.39,0.0345
A_T2_C,0.02,62.41,0.0345
A_T2_C,0.03,62.43,0.0345
A_T2_C,0.02,62.45,0.0345
A_T2_C,0.03,62.47,0.0345
A_T2_C,0.02,62.49,0.0345
A_T2_C,0.03,62.54,0.0345
A_T2_C,0.02,62.55,0.0345
A_T2_C,0.01,62.56,0.0345
A_T2_C,0.04,62.59,0.0345
A_T2_C,0.01,62.61,0.0345
A_T2_C,0.04,62.63,0.0345
A_T2_C,0.01,62.65,0.0345
A_T2_C,0.04,62.67,0.0345
A_T2_C,0.01,62.7,0.0345
A_T2_C,0.02,62.72,0.0345
A_T2_C,0.03,62.74,0.0345
A_T2_C,0.02,62.76,0.0345
A_T2_C,0.03,62.79,0.0345
A_T2_C,0.02,62.8,0.0345
A_T2_C,0.03,62.83,0.0345
A_T2_C,0.02,62.84,0.0345
A_T2_C,0.02,62.86,0.0345
A_T2_C,0.03,62.89,0.0345
A_T2_C,0.02,62.9,0.0345
A_T2_C,0.03,62.92,0.0345
A_T2_C,0.02,62.96,0.0345
A_T2_C,0.03,62.97,0.0345
A_T2_C,0.02,63,0.0345
A_T2_C,0.01,63.02,0.0345
A_T2_C,0.04,63.03,0.0345
A_T2_C,0.01,63.06,0.0345
A_T2_C,0.04,63.07,0.0345
A_T2_C,0.01,63.1,0.0345
A_T2_C,0.04,63.13,0.0345
A_T2_C,0.01,63.14,0.0345
A_T2_C,0.02,63.16,0.0345
A_T2_C,0.03,63.17,0.0345
A_T2_C,0.02,63.2,0.0345
A_T2_C,0.03,63.23,0.0345
A_T2_C,0.02,63.24,0.0345
A_T2_C,0.03,63.27,0.0345
A_T2_C,0.02,63.29,0.0345
A_T2_C,0.03,63.31,0.0345
A_T2_C,0.02,63.34,0.0345
A_T2_C,0.02,63.36,0.0345
A_T2_C,0.03,63.36,0.0345
A_T2_C,0.02,63.39,0.0345
A_T2_C,0.03,63.42,0.0345
A_T2_C,0.02,63.43,0.0345
A_T2_C,0.01,63.45,0.0345
A_T2_C,0.04,63.47,0.0345
A_T2_C,0.01,63.49,0.0345
A_T2_C,0.04,63.52,0.0345
A_T2_C,0.01,63.54,0.0345
A_T2_C,0.04,63.55,0.0345
A_T2_C,0.01,63.56,0.0345
A_T2_C,0.02,63.6,0.0345
A_T2_C,0.03,63.62,0.0345
A_T2_C,0.02,63.64,0.0345
A_T2_C,0.03,63.66,0.0345
A_T2_C,0.02,63.69,0.0345
A_T2_C,0.02,63.7,0.0345
A_T2_C,0.03,63.73,0.0345
A_T2_C,0.02,63.74,0.0345
A_T2_C,0.03,63.77,0.0345
A_T2_C,0.02,63.79,0.0345
A_T2_C,0.01,63.81,0.0345
A_T2_C,0.04,63.83,0.0345
A_T2_C,0.01,63.86,0.0345
A_T2_C,0.04,63.85,0.0345
A_T2_C,0.01,63.8,0.0345
A_T2_C,0.02,63.74,0.0345
A_T2_C,0.03,63.68,0.0345
A_T2_C,0.02,63.87,0.0345
A_T2_C,0.03,64.44,0.0345
A_T2_C,0.02,64.79,0.0345
A_T2_C,0.02,65.09,0.0345
A_T2_C,0.03,65.73,0.0345
A_T2_C,0.02,65.92,0.0345
A_T2_C,0.03,65.84,0.0345
A_T2_C,0.02,65.66,0.0345
A_T2_C,0.01,65.45,0.0345
A_T2_C,0.04,65.22,0.0345
A_T2_C,0.01,64.99,0.0345
A_T2_C,0.04,64.74,0.0345
A_T2_C,0.01,64.51,0.0345
A_T2_C,0.02,64.27,0.0345
A_T2_C,0.03,64.04,0.0345
A_T2_C,0.02,63.79,0.0345
A_T2_C,0.03,63.57,0.0345
A_T2_C,0.02,63.38,0.0345
A_T2_C,0.03,63.16,0.0345
A_T2_C,0.02,62.97,0.0345
A_T2_C,0.02,62.78,0.0345
A_T2_C,0.03,62.59,0.0345
A_T2_C,0.02,62.4,0.0345
A_T2_C,0.03,62.2,0.0345
A_T2_C,0.02,62.02,0.0345
A_T2_C,0.01,61.84,0.0345
A_T2_C,0.04,61.66,0.0345
A_T2_C,0.01,61.48,0.0345
A_T2_C,0.04,61.3,0.0345
A_T2_C,0.01,61.12,0.0345
A_T2_C,0.02,60.94,0.0345
A_T2_C,0.03,60.76,0.0345
A_T2_C,0.02,60.6,0.0345
A_T2_C,0.03,60.43,0.0345
A_T2_C,0.02,60.25,0.0345
A_T2_C,0.02,60.09,0.0345
A_T2_C,0.03,59.93,0.0345
A_T2_C,0.02,59.76,0.0345
A_T2_C,0.03,59.6,0.0345
A_T2_C,0.02,59.45,0.0345
A_T2_C,0.01,59.29,0.0345
A_T2_C,0.04,59.13,0.0345
A_T2_C,0.01,58.96,0.0345
A_T2_C,0.04,58.82,0.0345
A_T2_C,0.01,58.67,0.0345
A_T2_C,0.02,58.5,0.0345
A_T2_C,0.03,58.35,0.0345
A_T2_C,0.02,58.2,0.0345
A_T2_C,0.03,58.05,0.0345
A_T2_C,0.02,57.91,0.0345
A_T2_C,0.02,57.75,0.0345
A_T2_C,0.03,57.61,0.0345
A_T2_C,0.02,57.45,0.0345
A_T2_C,0.03,57.33,0.0345
A_T2_C,0.02,57.18,0.0345
A_T2_C,0.03,57.02,0.0345
A_T2_C,0.02,56.88,0.0345
A_T2_C,0.01,56.76,0.0345
A_T2_C,0.04,56.62,0.0345
A_T2_C,0.01,56.48,0.0345
A_T2_C,0.04,56.34,0.0345
A_T2_C,0.01,56.22,0.0345
A_T2_C,0.02,56.08,0.0345
A_T2_C,0.03,55.95,0.0345
A_T2_C,0.02,55.81,0.0345
A_T2_C,0.03,55.68,0.0345
A_T2_C,0.02,55.55,0.0345
A_T2_C,0.02,55.43,0.0345
A_T2_C,0.03,55.31,0.0345
A_T2_C,0.02,55.17,0.0345
A_T2_C,0.03,55.05,0.0345
A_T2_C,0.02,54.93,0.0345
A_T2_C,0.01,54.8,0.0345
A_T2_C,0.04,54.68,0.0345
A_T2_C,0.01,54.56,0.0345
A_T2_C,0.04,54.43,0.0345
A_T2_C,0.01,54.31,0.0345
A_T2_C,0.02,54.2,0.0345
A_T2_C,0.03,54.07,0.0345
A_T2_C,0.02,53.96,0.0345
A_T2_C,0.03,53.85,0.0345
A_T2_C,0.02,53.74,0.0345
A_T2_C,0.02,53.61,0.0345
A_T2_C,0.03,53.5,0.0345
A_T2_C,0.02,53.41,0.0345
A_T2_C,0.03,53.28,0.0345
A_T2_C,0.02,53.16,0.0345
A_T2_C,0.01,53.06,0.0345
A_T2_C,0.04,52.94,0.0345
A_T2_C,0.01,52.83,0.0345
A_T2_C,0.04,52.73,0.0345
A_T2_C,0.01,52.62,0.0345
A_T2_C,0.04,52.51,0.0345
A_T2_C,0.01,52.41,0.0345
A_T2_C,0.02,52.3,0.0345
A_T2_C,0.03,52.2,0.0345
A_T2_C,0.02,52.09,0.0345
A_T3_C,0,25.49,0.0345
A_T3_C,0.02,25.43,0.0345
A_T3_C,0.01,25.56,0.0345
A_T3_C,0.04,25.68,0.0345
A_T3_C,0.01,25.81,0.0345
A_T3_C,0.04,25.94,0.0345
A_T3_C,0.01,26.05,0.0345
A_T3_C,0.04,26.17,0.0345
A_T3_C,0.01,26.3,0.0345
A_T3_C,0.02,26.41,0.0345
A_T3_C,0.03,26.53,0.0345
A_T3_C,0.02,26.65,0.0345
A_T3_C,0.03,26.75,0.0345
A_T3_C,0.02,26.88,0.0345
A_T3_C,0.02,26.98,0.0345
A_T3_C,0.03,27.1,0.0345
A_T3_C,0.02,27.21,0.0345
A_T3_C,0.03,27.31,0.0345
A_T3_C,0.02,27.41,0.0345
A_T3_C,0.03,27.53,0.0345
A_T3_C,0.02,27.63,0.0345
A_T3_C,0.01,27.73,0.0345
A_T3_C,0.04,27.84,0.0345
A_T3_C,0.01,27.93,0.0345
A_T3_C,0.04,28.04,0.0345
A_T3_C,0.01,28.16,0.0345
A_T3_C,0.04,28.25,0.0345
A_T3_C,0.01,28.36,0.0345
A_T3_C,0.02,28.45,0.0345
A_T3_C,0.03,28.55,0.0345
A_T3_C,0.02,28.65,0.0345
A_T3_C,0.03,28.76,0.0345
A_T3_C,0.02,28.85,0.0345
A_T3_C,0.03,28.94,0.0345
A_T3_C,0.02,29.04,0.0345
A_T3_C,0.02,29.15,0.0345
A_T3_C,0.03,29.24,0.0345
A_T3_C,0.02,29.34,0.0345
A_T3_C,0.03,29.46,0.0345
A_T3_C,0.02,29.54,0.0345
A_T3_C,0.03,29.63,0.0345
A_T3_C,0.02,29.73,0.0345
A_T3_C,0.01,29.84,0.0345
A_T3_C,0.04,29.92,0.0345
A_T3_C,0.01,30.02,0.0345
A_T3_C,0.04,30.12,0.0345
A_T3_C,0.01,30.22,0.0345
A_T3_C,0.02,30.31,0.0345
A_T3_C,0.03,30.4,0.0345
A_T3_C,0.02,30.51,0.0345
A_T3_C,0.03,30.6,0.0345
A_T3_C,0.02,30.71,0.0345
A_T3_C,0.03,30.81,0.0345
A_T3_C,0.02,30.9,0.0345
A_T3_C,0.02,31,0.0345
A_T3_C,0.03,31.1,0.0345
A_T3_C,0.02,31.18,0.0345
A_T3_C,0.03,31.28,0.0345
A_T3_C,0.02,31.37,0.0345
A_T3_C,0.01,31.47,0.0345
A_T3_C,0.04,31.57,0.0345
A_T3_C,0.01,31.66,0.0345
A_T3_C,0.04,31.76,0.0345
A_T3_C,0.01,31.85,0.0345
A_T3_C,0.04,31.95,0.0345
A_T3_C,0.01,32.06,0.0345
A_T3_C,0.02,32.15,0.0345
A_T3_C,0.03,32.25,0.0345
A_T3_C,0.02,32.34,0.0345
A_T3_C,0.03,32.45,0.0345
A_T3_C,0.02,32.53,0.0345
A_T3_C,0.03,32.63,0.0345
A_T3_C,0.02,32.73,0.0345
A_T3_C,0.02,32.82,0.0345
A_T3_C,0.03,32.92,0.0345
A_T3_C,0.02,33.01,0.0345
A_T3_C,0.03,33.11,0.0345
A_T3_C,0.02,33.2,0.0345
A_T3_C,0.03,33.3,0.0345
A_T3_C,0.02,33.4,0.0345
A_T3_C,0.01,33.49,0.0345
A_T3_C,0.04,33.59,0.0345
A_T3_C,0.01,33.69,0.0345
A_T3_C,0.04,33.78,0.0345
A_T3_C,0.01,33.88,0.0345
A_T3_C,0.02,33.98,0.0345
A_T3_C,0.03,34.08,0.0345
A_T3_C,0.02,34.16,0.0345
A_T3_C,0.03,34.26,0.0345
A_T3_C,0.02,34.36,0.0345
A_T3_C,0.03,34.45,0.0345
A_T3_C,0.02,34.54,0.0345
A_T3_C,0.02,34.66,0.0345
A_T3_C,0.03,34.75,0.0345
A_T3_C,0.02,34.84,0.0345
A_T3_C,0.03,34.95,0.0345
A_T3_C,0.02,35.04,0.0345
A_T3_C,0.03,35.13,0.0345
A_T3_C,0.02,35.21,0.0345
A_T3_C,0.01,35.33,0.0345
A_T3_C,0.04,35.42,0.0345
A_T3_C,0.01,35.51,0.0345
A_T3_C,0.04,35.61,0.0345
A_T3_C,0.01,35.7,0.0345
A_T3_C,0.04,35.78,0.0345
A_T3_C,0.01,35.89,0.0345
A_T3_C,0.02,35.99,0.0345
A_T3_C,0.03,36.09,0.0345
A_T3_C,0.02,36.18,0.0345
A_T3_C,0.03,36.29,0.0345
A_T3_C,0.02,36.38,0.0345
A_T3_C,0.03,36.48,0.0345
A_T3_C,0.02,36.57,0.0345
A_T3_C,0.02,36.67,0.0345
A_T3_C,0.03,36.77,0.0345
A_T3_C,0.02,36.86,0.0345
A_T3_C,0.03,36.96,0.0345
A_T3_C,0.02,37.04,0.0345
A_T3_C,0.03,37.14,0.0345
A_T3_C,0.02,37.25,0.0345
A_T3_C,0.01,37.34,0.0345
A_T3_C,0.04,37.43,0.0345
A_T3_C,0.01,37.53,0.0345
A_T3_C,0.04,37.63,0.0345
A_T3_C,0.01,37.71,0.0345
A_T3_C,0.04,37.8,0.0345
A_T3_C,0.01,37.9,0.0345
A_T3_C,0.04,38,0.0345
A_T3_C,0.01,38.1,0.0345
A_T3_C,0.02,38.19,0.0345
A_T3_C,0.03,38.28,0.0345
A_T3_C,0.02,38.37,0.0345
A_T3_C,0.03,38.48,0.0345
A_T3_C,0.02,38.58,0.0345
A_T3_C,0.03,38.66,0.0345
A_T3_C,0.02,38.76,0.0345
A_T3_C,0.02,38.86,0.0345
A_T3_C,0.03,38.94,0.0345
A_T3_C,0.02,39.04,0.0345
A_T3_C,0.03,39.13,0.0345
A_T3_C,0.02,39.23,0.0345
A_T3_C,0.03,39.31,0.0345
A_T3_C,0.02,39.41,0.0345
A_T3_C,0.01,39.5,0.0345
A_T3_C,0.04,39.58,0.0345
A_T3_C,0.01,39.68,0.0345
A_T3_C,0.04,39.78,0.0345
A_T3_C,0.01,39.88,0.0345
A_T3_C,0.04,39.96,0.0345
A_T3_C,0.01,40.05,0.0345
A_T3_C,0.04,40.15,0.0345
A_T3_C,0.01,40.24,0.0345
A_T3_C,0.02,40.33,0.0345
A_T3_C,0.03,40.42,0.0345
A_T3_C,0.02,40.51,0.0345
A_T3_C,0.03,40.6,0.0345
A_T3_C,0.02,40.7,0.0345
A_T3_C,0.03,40.79,0.0345
A_T3_C,0.02,40.88,0.0345
A_T3_C,0.02,40.96,0.0345
A_T3_C,0.03,41.07,0.0345
A_T3_C,0.02,41.16,0.0345
A_T3_C,0.03,41.24,0.0345
A_T3_C,0.02,41.33,0.0345
A_T3_C,0.03,41.43,0.0345
A_T3_C,0.02,41.51,0.0345
A_T3_C,0.01,41.59,0.0345
A_T3_C,0.04,41.7,0.0345
A_T3_C,0.01,41.78,0.0345
A_T3_C,0.04,41.87,0.0345
A_T3_C,0.01,41.96,0.0345
A_T3_C,0.04,42.05,0.0345
A_T3_C,0.01,42.14,0.0345
A_T3_C,0.04,42.23,0.0345
A_T3_C,0.01,42.31,0.0345
A_T3_C,0.02,42.4,0.0345
A_T3_C,0.03,42.5,0.0345
A_T3_C,0.02,42.58,0.0345
A_T3_C,0.03,42.68,0.0345
A_T3_C,0.02,42.76,0.0345
A_T3_C,0.03,42.84,0.0345
A_T3_C,0.02,42.93,0.0345
A_T3_C,0.02,43.02,0.0345
A_T3_C,0.03,43.11,0.0345
A_T3_C,0.02,43.19,0.0345
A_T3_C,0.03,43.29,0.0345
A_T3_C,0.02,43.37,0.0345
A_T3_C,0.03,43.46,0.0345
A_T3_C,0.02,43.54,0.0345
A_T3_C,0.01,43.63,0.0345
A_T3_C,0.04,43.71,0.0345
A_T3_C,0.01,43.8,0.0345
A_T3_C,0.04,43.89,0.0345
A_T3_C,0.01,43.98,0.0345
A_T3_C,0.04,44.05,0.0345
A_T3_C,0.01,44.14,0.0345
A_T3_C,0.04,44.22,0.0345
A_T3_C,0.01,44.31,0.0345
A_T3_C,0.02,44.39,0.0345
A_T3_C,0.03,44.47,0.0345
A_T3_C,0.02,44.55,0.0345
A_T3_C,0.03,44.65,0.0345
A_T3_C,0.02,44.72,0.0345
A_T3_C,0.03,44.81,0.0345
A_T3_C,0.02,44.89,0.0345
A_T3_C,0.02,44.97,0.0345
A_T3_C,0.03,45.06,0.0345
A_T3_C,0.02,45.15,0.0345
A_T3_C,0.03,45.22,0.0345
A_T3_C,0.02,45.3,0.0345
A_T3_C,0.03,45.4,0.0345
A_T3_C,0.02,45.47,0.0345
A_T3_C,0.01,45.55,0.0345
A_T3_C,0.04,45.63,0.0345
A_T3_C,0.01,45.71,0.0345
A_T3_C,0.04,45.79,0.0345
A_T3_C,0.01,45.88,0.0345
A_T3_C,0.04,45.96,0.0345
A_T3_C,0.01,46.03,0.0345
A_T3_C,0.04,46.11,0.0345
A_T3_C,0.01,46.19,0.0345
A_T3_C,0.02,46.28,0.0345
A_T3_C,0.03,46.36,0.0345
A_T3_C,0.02,46.44,0.0345
A_T3_C,0.03,46.52,0.0345
A_T3_C,0.02,46.58,0.0345
A_T3_C,0.03,46.68,0.0345
A_T3_C,0.02,46.76,0.0345
A_T3_C,0.02,46.84,0.0345
A_T3_C,0.03,46.91,0.0345
A_T3_C,0.02,46.98,0.0345
A_T3_C,0.03,47.05,0.0345
A_T3_C,0.02,47.14,0.0345
A_T3_C,0.03,47.23,0.0345
A_T3_C,0.02,47.29,0.0345
A_T3_C,0.01,47.36,0.0345
A_T3_C,0.04,47.45,0.0345
A_T3_C,0.01,47.51,0.0345
A_T3_C,0.04,47.6,0.0345
A_T3_C,0.01,47.67,0.0345
A_T3_C,0.04,47.75,0.0345
A_T3_C,0.01,47.84,0.0345
A_T3_C,0.04,47.9,0.0345
A_T3_C,0.01,47.99,0.0345
A_T3_C,0.02,48.05,0.0345
A_T3_C,0.03,48.13,0.0345
A_T3_C,0.02,48.2,0.0345
A_T3_C,0.03,48.27,0.0345
A_T3_C,0.02,48.35,0.0345
A_T3_C,0.03,48.43,0.0345
A_T3_C,0.02,48.51,0.0345
A_T3_C,0.02,48.57,0.0345
A_T3_C,0.03,48.64,0.0345
